type,test_idx,train_idx,similarity
unrelated,0,220,-0.022579
unrelated,0,221,0.025546
unrelated,0,222,-0.025936
unrelated,0,223,-0.030173
unrelated,0,224,0.046945
unrelated,0,225,0.021956
unrelated,0,226,-0.023128
unrelated,0,227,0.011796
unrelated,0,228,0.004949
unrelated,0,229,-0.009061
unrelated,0,230,0.008888
related,0,231,-0.020906
unrelated,0,232,-0.010554
unrelated,0,233,0.022248
unrelated,0,234,-0.034906
unrelated,0,235,0.055611
unrelated,0,236,-0.004079
unrelated,0,237,0.020536
unrelated,0,238,0.019686
unrelated,0,239,0.030592
unrelated,0,240,0.018735
related,0,241,0.049983
related,0,242,0.043039
related,0,243,0.053950
unrelated,0,244,0.038079
unrelated,0,245,0.010498
unrelated,0,246,-0.064984
unrelated,0,247,-0.017912
unrelated,0,248,-0.047704
unrelated,0,249,-0.052453
unrelated,1,0,0.042929
unrelated,1,1,-0.008258
unrelated,1,2,-0.012531
unrelated,1,3,0.013460
unrelated,1,4,-0.005811
unrelated,1,5,0.050997
unrelated,1,6,0.020668
unrelated,1,7,0.011042
unrelated,1,8,0.038651
unrelated,1,9,0.015869
unrelated,1,10,-0.051476
unrelated,1,11,0.026551
unrelated,1,12,0.019798
unrelated,1,13,-0.006759
unrelated,1,14,0.034416
unrelated,1,15,0.025335
unrelated,1,16,0.003370
unrelated,1,17,0.015328
unrelated,1,18,0.053560
unrelated,1,19,0.009527
unrelated,1,20,0.002881
unrelated,1,21,-0.025946
unrelated,1,22,0.023893
unrelated,1,23,0.002783
unrelated,1,24,0.011752
unrelated,1,25,0.028334
unrelated,1,26,-0.017710
unrelated,1,27,0.000206
unrelated,1,28,0.010663
unrelated,1,29,-0.041171
unrelated,1,30,0.006471
unrelated,1,31,0.005422
unrelated,1,32,-0.017371
unrelated,1,33,-0.021989
unrelated,1,34,-0.076676
unrelated,1,35,-0.010145
unrelated,1,36,-0.031694
unrelated,1,37,-0.006408
unrelated,1,38,0.042096
unrelated,1,39,0.004357
unrelated,1,40,0.022741
unrelated,1,41,-0.044102
unrelated,1,42,0.052198
related,1,43,0.347103
unrelated,1,44,0.012287
unrelated,1,45,0.013128
unrelated,1,46,0.022378
unrelated,1,47,0.014532
unrelated,1,48,0.028867
unrelated,1,49,-0.019799
unrelated,1,50,0.015415
unrelated,1,51,0.003370
unrelated,1,52,0.013513
unrelated,1,53,0.026024
unrelated,1,54,-0.060035
unrelated,1,55,0.018387
unrelated,1,56,0.005994
unrelated,1,57,-0.007146
unrelated,1,58,0.005810
unrelated,1,59,-0.030849
unrelated,1,60,-0.036332
unrelated,1,61,0.077123
unrelated,1,62,0.019071
unrelated,1,63,-0.043143
unrelated,1,64,-0.016026
unrelated,1,65,-0.009683
unrelated,1,66,0.065851
unrelated,1,67,0.021917
unrelated,1,68,0.053007
unrelated,1,69,-0.009002
unrelated,1,70,-0.002923
unrelated,1,71,0.013043
unrelated,1,72,0.000990
unrelated,1,73,0.057163
unrelated,1,74,0.007732
unrelated,1,75,0.036481
unrelated,1,76,0.048012
unrelated,1,77,0.037993
unrelated,1,78,-0.005836
unrelated,1,79,0.002399
unrelated,1,80,0.006506
unrelated,1,81,0.001949
unrelated,1,82,-0.009032
