step,layer,neuron,tau_value
8,command,3,2.014860
9,command,0,2.009187
9,command,1,2.004567
9,command,2,2.010823
9,command,3,2.006313
10,command,0,2.004478
10,command,1,2.002736
10,command,2,2.005555
10,command,3,2.002987
11,command,0,2.003321
11,command,1,2.004514
11,command,2,1.999716
11,command,3,2.001926
12,command,0,1.980660
12,command,1,1.991658
12,command,2,1.984985
12,command,3,1.986888
13,command,0,1.993116
13,command,1,1.996447
13,command,2,1.992775
13,command,3,1.996193
14,command,0,2.001980
14,command,1,1.995235
14,command,2,1.997554
14,command,3,2.003548
15,command,0,2.000607
15,command,1,2.005233
15,command,2,2.003194
15,command,3,2.000798
16,command,0,2.001293
16,command,1,2.000903
16,command,2,2.006297
16,command,3,1.999884
17,command,0,1.997061
17,command,1,1.997200
17,command,2,1.998590
17,command,3,1.998546
18,command,0,2.016302
18,command,1,2.011633
18,command,2,2.002687
18,command,3,2.008739
19,command,0,2.009405
19,command,1,2.003588
19,command,2,2.008727
19,command,3,2.004852
20,command,0,2.003975
20,command,1,2.001652
20,command,2,2.003711
20,command,3,2.002179
21,command,0,2.000580
21,command,1,2.003610
21,command,2,1.993631
21,command,3,2.000990
22,command,0,1.986709
22,command,1,1.990729
22,command,2,1.992824
22,command,3,1.994050
23,command,0,1.997474
23,command,1,1.998793
23,command,2,2.001657
23,command,3,1.998332
24,command,0,1.998988
24,command,1,2.002735
24,command,2,1.997929
24,command,3,1.999980
25,command,0,2.001212
25,command,1,1.994252
25,command,2,1.994536
25,command,3,2.001676
26,command,0,1.995182
26,command,1,2.000039
26,command,2,1.995613
26,command,3,1.994987
27,command,0,1.994683
27,command,1,1.998183
27,command,2,1.996903
27,command,3,1.995315
28,command,0,2.022555
28,command,1,2.013241
28,command,2,2.015348
28,command,3,2.014865
29,command,0,2.009184
29,command,1,2.004569
29,command,2,2.010823
29,command,3,2.006316
30,command,0,2.004476
30,command,1,2.002737
30,command,2,2.005555
30,command,3,2.002988
31,command,0,2.003320
31,command,1,2.004514
31,command,2,1.999715
31,command,3,2.001926
32,command,0,1.980659
32,command,1,1.991658
32,command,2,1.984984
32,command,3,1.986888
33,command,0,1.993115
33,command,1,1.996447
33,command,2,1.992775
33,command,3,1.996193
34,command,0,2.001980
34,command,1,1.995235
34,command,2,1.997554
34,command,3,2.003548
35,command,0,2.000607
35,command,1,2.005233
35,command,2,2.003194
35,command,3,2.000798
36,command,0,2.001293
36,command,1,2.000903
36,command,2,2.006297
36,command,3,1.999884
37,command,0,1.997061
37,command,1,1.997200
37,command,2,1.998590
37,command,3,1.998546
38,command,0,2.016302
38,command,1,2.011633
38,command,2,2.002687
38,command,3,2.008739
39,command,0,2.009405
39,command,1,2.003588
39,command,2,2.008727
39,command,3,2.004852
40,command,0,2.003975
40,command,1,2.001652
40,command,2,2.003711
40,command,3,2.002179
41,command,0,2.000580
41,command,1,2.003610
41,command,2,1.993631
41,command,3,2.000990
42,command,0,1.986709
42,command,1,1.990729
42,command,2,1.992824
42,command,3,1.994050
43,command,0,1.997474
43,command,1,1.998793
43,command,2,2.001657
43,command,3,1.998332
44,command,0,1.998988
44,command,1,2.002735
44,command,2,1.997929
44,command,3,1.999980
45,command,0,2.001212
45,command,1,1.994252
45,command,2,1.994536
45,command,3,2.001676
46,command,0,1.995182
46,command,1,2.000039
46,command,2,1.995613
46,command,3,1.994987
47,command,0,1.994683
47,command,1,1.998183
47,command,2,1.996903
47,command,3,1.995315
48,command,0,2.022555
48,command,1,2.013241
48,command,2,2.015348
48,command,3,2.014865
49,command,0,2.009184
49,command,1,2.004569
49,command,2,2.010823
49,command,3,2.006316
0,motor,0,2.000000
0,motor,1,2.000000
0,motor,2,2.000000
0,motor,3,2.000000
1,motor,0,1.999837
1,motor,1,1.999941
1,motor,2,2.000023
1,motor,3,1.999933
2,motor,0,1.999849
2,motor,1,2.000000
2,motor,2,2.000649
2,motor,3,2.000684
3,motor,0,1.999837
3,motor,1,1.999915
3,motor,2,2.000372
3,motor,3,2.000486
4,motor,0,1.999704
4,motor,1,1.999795
4,motor,2,2.000132
4,motor,3,2.000254
5,motor,0,2.000556
5,motor,1,2.000490
5,motor,2,2.000556
5,motor,3,2.000309
6,motor,0,1.999877
6,motor,1,1.999998
6,motor,2,2.000216
6,motor,3,2.000108
7,motor,0,1.999691
7,motor,1,1.999854
7,motor,2,2.000130
7,motor,3,2.000085
8,motor,0,2.000326
8,motor,1,2.000120
8,motor,2,1.999316
8,motor,3,1.999250
9,motor,0,2.000305
9,motor,1,2.000063
9,motor,2,1.999299
9,motor,3,1.999362
10,motor,0,2.000144
10,motor,1,1.999970
10,motor,2,1.999444
10,motor,3,1.999550
11,motor,0,1.999923
11,motor,1,1.999866
11,motor,2,1.999508
11,motor,3,1.999556
12,motor,0,1.999307
12,motor,1,1.999602
12,motor,2,2.000239
12,motor,3,2.000302
13,motor,0,1.999602
13,motor,1,1.999829
13,motor,2,2.000399
13,motor,3,2.000374
14,motor,0,2.000512
14,motor,1,2.000474
14,motor,2,2.000635
14,motor,3,2.000412
15,motor,0,1.999846
15,motor,1,1.999882
15,motor,2,2.000015
15,motor,3,2.000115
16,motor,0,1.999833
16,motor,1,1.999812
16,motor,2,1.999822
16,motor,3,1.999992
17,motor,0,1.999956
17,motor,1,1.999947
17,motor,2,2.000095
17,motor,3,2.000191
18,motor,0,2.000197
18,motor,1,2.000096
18,motor,2,1.999483
18,motor,3,1.999305
19,motor,0,2.000322
19,motor,1,2.000149
19,motor,2,1.999378
19,motor,3,1.999249
20,motor,0,2.000213
20,motor,1,2.000090
20,motor,2,1.999516
20,motor,3,1.999442
21,motor,0,1.999943
21,motor,1,1.999975
21,motor,2,1.999691
21,motor,3,1.999566
22,motor,0,1.999892
22,motor,1,2.000007
22,motor,2,2.000443
22,motor,3,2.000460
23,motor,0,1.999851
23,motor,1,1.999912
23,motor,2,2.000248
23,motor,3,2.000355
24,motor,0,1.999704
24,motor,1,1.999789
24,motor,2,2.000060
24,motor,3,2.000179
25,motor,0,2.000552
25,motor,1,2.000484
25,motor,2,2.000515
25,motor,3,2.000267
26,motor,0,1.999873
26,motor,1,1.999993
26,motor,2,2.000193
26,motor,3,2.000084
27,motor,0,1.999688
27,motor,1,1.999851
27,motor,2,2.000117
27,motor,3,2.000072
28,motor,0,2.000324
28,motor,1,2.000118
28,motor,2,1.999309
28,motor,3,1.999243
29,motor,0,2.000304
29,motor,1,2.000062
29,motor,2,1.999295
29,motor,3,1.999357
30,motor,0,2.000143
30,motor,1,1.999969
30,motor,2,1.999442
30,motor,3,1.999548
31,motor,0,1.999923
31,motor,1,1.999866
31,motor,2,1.999506
31,motor,3,1.999555
32,motor,0,1.999306
32,motor,1,1.999602
32,motor,2,2.000238
32,motor,3,2.000301
33,motor,0,1.999602
33,motor,1,1.999829
33,motor,2,2.000398
33,motor,3,2.000374
34,motor,0,2.000512
34,motor,1,2.000474
34,motor,2,2.000635
34,motor,3,2.000412
35,motor,0,1.999846
35,motor,1,1.999882
35,motor,2,2.000015
35,motor,3,2.000115
36,motor,0,1.999833
36,motor,1,1.999812
36,motor,2,1.999822
36,motor,3,1.999992
37,motor,0,1.999956
37,motor,1,1.999947
37,motor,2,2.000095
37,motor,3,2.000191
38,motor,0,2.000197
38,motor,1,2.000096
38,motor,2,1.999483
38,motor,3,1.999305
39,motor,0,2.000322
39,motor,1,2.000149
39,motor,2,1.999378
39,motor,3,1.999249
40,motor,0,2.000213
40,motor,1,2.000090
40,motor,2,1.999516
40,motor,3,1.999442
41,motor,0,1.999943
41,motor,1,1.999975
41,motor,2,1.999691
41,motor,3,1.999566
42,motor,0,1.999892
42,motor,1,2.000007
42,motor,2,2.000443
42,motor,3,2.000460
43,motor,0,1.999851
43,motor,1,1.999912
43,motor,2,2.000248
43,motor,3,2.000355
44,motor,0,1.999704
44,motor,1,1.999789
44,motor,2,2.000060
44,motor,3,2.000179
45,motor,0,2.000552
45,motor,1,2.000484
45,motor,2,2.000515
45,motor,3,2.000267
46,motor,0,1.999873
46,motor,1,1.999993
46,motor,2,2.000193
46,motor,3,2.000084
47,motor,0,1.999688
47,motor,1,1.999851
47,motor,2,2.000117
47,motor,3,2.000072
48,motor,0,2.000324
48,motor,1,2.000118
48,motor,2,1.999309
48,motor,3,1.999243
49,motor,0,2.000304
49,motor,1,2.000062
49,motor,2,1.999295
49,motor,3,1.999357
