cluster,intra_sim,inter_sim,ratio
ANIMALI,0.184249,0.024089,7.6487
CIBO,0.243646,0.111283,2.1894
NATURA,0.093844,0.029191,3.2148
FAMIGLIA,0.221047,0.108973,2.0285
LAVORO,0.155969,0.080057,1.9482
