word,category,sim_to_centroid
gatto,ANIMALI,0.899001
cane,ANIMALI,0.257152
uccello,ANIMALI,0.902709
pesce,ANIMALI,0.900359
cavallo,ANIMALI,0.896302
pasta,CIBO,0.462610
pane,CIBO,0.786013
torta,CIBO,0.490408
gelato,CIBO,0.780350
pizza,CIBO,0.768236
sole,NATURA,0.496586
pioggia,NATURA,0.448765
vento,NATURA,0.559877
neve,NATURA,0.349455
mare,NATURA,0.716061
