word,step,velocity,sim_to_final
gatto,1,1.000000,1.000000
gatto,2,0.000000,1.000000
gatto,3,-0.000000,1.000000
gatto,4,0.000000,1.000000
gatto,5,0.000000,1.000000
gatto,6,-0.000000,1.000000
gatto,7,-0.000000,1.000000
gatto,8,-0.000000,1.000000
gatto,9,-0.000000,1.000000
gatto,10,-0.000000,1.000000
gatto,11,-0.000000,1.000000
gatto,12,-0.000000,1.000000
gatto,13,-0.000000,1.000000
gatto,14,0.000000,1.000000
gatto,15,0.000000,1.000000
gatto,16,-0.000000,1.000000
gatto,17,-0.000000,1.000000
gatto,18,0.000000,1.000000
gatto,19,0.000000,1.000000
gatto,20,0.000000,1.000000
gatto,21,0.000000,1.000000
gatto,22,0.000000,1.000000
gatto,23,0.000000,1.000000
gatto,24,0.000000,1.000000
gatto,25,0.000000,1.000000
gatto,26,0.000000,1.000000
gatto,27,0.000000,1.000000
gatto,28,0.000000,1.000000
gatto,29,0.000000,1.000000
gatto,30,0.000000,1.000000
gatto,31,0.000000,1.000000
gatto,32,0.000000,1.000000
gatto,33,0.000000,1.000000
gatto,34,0.000000,1.000000
gatto,35,0.000000,1.000000
gatto,36,0.000000,1.000000
gatto,37,0.000000,1.000000
gatto,38,0.000000,1.000000
gatto,39,0.000000,1.000000
gatto,40,0.000000,1.000000
gatto,41,0.000000,1.000000
gatto,42,0.000000,1.000000
gatto,43,0.000000,1.000000
gatto,44,0.000000,1.000000
gatto,45,0.000000,1.000000
gatto,46,0.000000,1.000000
gatto,47,0.000000,1.000000
gatto,48,0.000000,1.000000
gatto,49,0.000000,1.000000
gatto,50,0.000000,1.000000
pasta,1,1.000000,1.000000
pasta,2,-0.000000,1.000000
pasta,3,-0.000000,1.000000
pasta,4,-0.000000,1.000000
pasta,5,-0.000000,1.000000
pasta,6,-0.000000,1.000000
pasta,7,0.000000,1.000000
pasta,8,0.000000,1.000000
pasta,9,0.000000,1.000000
pasta,10,0.000000,1.000000
pasta,11,0.000000,1.000000
pasta,12,0.000000,1.000000
pasta,13,0.000000,1.000000
pasta,14,0.000000,1.000000
pasta,15,0.000000,1.000000
pasta,16,0.000000,1.000000
pasta,17,0.000000,1.000000
pasta,18,0.000000,1.000000
pasta,19,0.000000,1.000000
pasta,20,0.000000,1.000000
pasta,21,0.000000,1.000000
pasta,22,0.000000,1.000000
pasta,23,0.000000,1.000000
pasta,24,0.000000,1.000000
pasta,25,0.000000,1.000000
pasta,26,0.000000,1.000000
pasta,27,0.000000,1.000000
pasta,28,0.000000,1.000000
pasta,29,0.000000,1.000000
pasta,30,0.000000,1.000000
pasta,31,0.000000,1.000000
pasta,32,0.000000,1.000000
pasta,33,0.000000,1.000000
pasta,34,0.000000,1.000000
pasta,35,0.000000,1.000000
pasta,36,0.000000,1.000000
pasta,37,0.000000,1.000000
pasta,38,0.000000,1.000000
pasta,39,0.000000,1.000000
pasta,40,0.000000,1.000000
pasta,41,0.000000,1.000000
pasta,42,0.000000,1.000000
pasta,43,0.000000,1.000000
pasta,44,0.000000,1.000000
pasta,45,0.000000,1.000000
pasta,46,0.000000,1.000000
pasta,47,0.000000,1.000000
pasta,48,0.000000,1.000000
pasta,49,0.000000,1.000000
pasta,50,0.000000,1.000000
sole,1,1.000000,1.000004
sole,2,0.000004,1.000000
sole,3,-0.000000,1.000000
sole,4,-0.000000,1.000000
sole,5,0.000000,1.000000
sole,6,0.000000,1.000000
sole,7,0.000000,1.000000
sole,8,0.000000,1.000000
sole,9,0.000000,1.000000
sole,10,0.000000,1.000000
sole,11,0.000000,1.000000
sole,12,0.000000,1.000000
sole,13,0.000000,1.000000
sole,14,0.000000,1.000000
sole,15,0.000000,1.000000
sole,16,0.000000,1.000000
sole,17,0.000000,1.000000
sole,18,0.000000,1.000000
sole,19,0.000000,1.000000
sole,20,0.000000,1.000000
sole,21,0.000000,1.000000
sole,22,0.000000,1.000000
sole,23,0.000000,1.000000
sole,24,0.000000,1.000000
sole,25,0.000000,1.000000
sole,26,0.000000,1.000000
sole,27,0.000000,1.000000
sole,28,0.000000,1.000000
sole,29,0.000000,1.000000
sole,30,0.000000,1.000000
sole,31,0.000000,1.000000
sole,32,0.000000,1.000000
sole,33,0.000000,1.000000
sole,34,0.000000,1.000000
sole,35,0.000000,1.000000
sole,36,0.000000,1.000000
sole,37,0.000000,1.000000
sole,38,0.000000,1.000000
sole,39,0.000000,1.000000
sole,40,0.000000,1.000000
sole,41,0.000000,1.000000
sole,42,0.000000,1.000000
sole,43,0.000000,1.000000
sole,44,0.000000,1.000000
sole,45,0.000000,1.000000
sole,46,0.000000,1.000000
sole,47,0.000000,1.000000
sole,48,0.000000,1.000000
sole,49,0.000000,1.000000
sole,50,0.000000,1.000000
