n_sentences,gatto_micio,gatto_felino,cane_cucciolo
100,-0.053680,0.069963,0.040520
300,0.260010,0.025019,0.017528
1000,0.120527,0.161094,0.107950
3000,0.125900,0.125027,0.157039
7610,-0.009280,-0.028713,0.032036
