idle_steps,gatto_trace_combined,gatto_trace_slow,gatto_trace_fast
0,0.653321,0.596472,0.530622
5,0.653321,0.596472,0.530622
10,0.653321,0.596472,0.530622
15,0.653321,0.596472,0.530622
20,0.653321,0.596472,0.530622
