passes,avg_sim_synonyms,avg_sim_unrelated,semantic_gap,vocab_candidates_score,training_time_cumulative_secs,n_synonym_pairs,n_unrelated_pairs
5,0.028137,0.016608,0.011529,1.000000,49.6,6,3
10,0.028012,0.114976,-0.086964,1.000000,69.7,6,3
15,0.043420,0.166431,-0.123011,1.000000,102.2,6,3
20,0.079193,0.191407,-0.112214,1.000000,138.4,6,3
25,0.126602,0.204595,-0.077992,1.000000,174.3,6,3
30,0.178331,0.212863,-0.034532,1.000000,210.9,6,3
