D,vocab_size,top1
1024,5,1.0000
1024,10,1.0000
1024,20,1.0000
1024,50,1.0000
2048,5,1.0000
2048,10,1.0000
2048,20,1.0000
2048,50,1.0000
4096,5,1.0000
4096,10,1.0000
4096,20,1.0000
4096,50,1.0000
