D,avg_top1,avg_top3,avg_top5,std_top1
1024,1.0000,1.0000,1.0000,0.0000
2048,1.0000,1.0000,1.0000,0.0000
4096,1.0000,1.0000,1.0000,0.0000
6144,1.0000,1.0000,1.0000,0.0000
8192,1.0000,1.0000,1.0000,0.0000
