D,top1,top3,top5,mean_unbind_sim
1024,0.3333,0.5833,0.6667,0.0059
2048,0.0000,0.0833,0.3333,-0.0173
4096,0.0000,0.2500,0.4167,-0.0033
8192,0.4167,0.7500,1.0000,0.0088
